flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 1920 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : none
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2229 symbols
  efficiency    : 1.72 bits/second/Hz
SNRdB,bitErrorRate,Valid Header,Detected Frame
-17.750000,0,0,1 
-18.000000,0,0,1 
-18.250000,0,0,1 
-18.500000,0,0,1 
-18.750000,0,0,1 
-19.000000,0,0,1 
-19.250000,0,0,1 
-19.500000,0,0,1 
-19.750000,0,0,1 
-20.000000,0,0,1 
-20.250000,0,0,1 
-20.500000,0,0,1 
-20.750000,0,0,1 
-21.000000,0,0,1 
-21.250000,0,0,1 
-21.500000,0,0,1 
-21.750000,0,0,1 
-22.000000,0,0,1 
-22.250000,0,0,1 
-22.500000,0,0,1 
-22.750000,0,0,1 
-23.000000,0,0,1 
-23.250000,0,0,1 
-23.500000,0,0,1 
-23.750000,0,0,1 
-24.000000,0,0,1 
-24.250000,0,0,1 
-24.500000,0,0,1 
-24.750000,0,0,1 
-25.000000,0,0,1 
-25.250000,0,0,1 
-25.500000,0,0,1 
-25.750000,0,0,1 
-26.000000,0,0,1 
-26.250000,0,0,1 
-26.500000,0,0,1 
-26.750000,0,0,1 
-27.000000,0,0,1 
-27.250000,0,0,1 
-27.500000,0,0,1 
-27.750000,0,0,1 
-28.000000,0,0,1 
-28.250000,0,0,1 
-28.500000,0,0,1 
-28.750000,0,0,1 
-29.000000,0,0,1 
-29.250000,0,0,1 
-29.500000,0,0,1 
-29.750000,0,0,1 
-30.000000,0,0,1 
-30.250000,0,0,1 
-30.500000,0,0,1 
-30.750000,0,0,1 
-31.000000,0,0,1 
-31.250000,0,0,1 
-31.500000,0,0,1 
-31.750000,0,0,1 
-32.000000,0,0,1 
-32.250000,0,0,1 
-32.500000,0,0,1 
-32.750000,0,0,1 
-33.000000,0,0,1 
-33.250000,0,0,1 
-33.500000,0,0,1 
-33.750000,0,0,1 
-34.000000,0,0,1 
-34.250000,0,0,1 
-34.500000,0,0,1 
-34.750000,0,0,1 
-35.000000,0,0,1 
-35.250000,0,0,1 
-35.500000,0,0,1 
-35.750000,0,0,1 
-36.000000,0,0,1 
-36.250000,0,0,1 
-36.500000,0,0,1 
-36.750000,0,0,1 
-37.000000,0,0,1 
-37.250000,0,0,1 
-37.500000,0,0,1 
-37.750000,0,0,1 
-38.000000,0,0,1 
-38.250000,0,0,1 
-38.500000,0,0,1 
-38.750000,0,0,1 
-39.000000,0,0,1 
-39.250000,0,0,1 
-39.500000,0,0,1 
-39.750000,0,0,1 
-40.000000,0,0,1 
-40.250000,0,0,1 
-40.500000,0,0,1 
-40.750000,0,0,1 
-41.000000,0,0,1 
-41.250000,0,0,1 
-41.500000,0,0,1 
-41.750000,0,0,1 
-42.000000,0,0,1 
-42.250000,0,0,1 
